row,word,english_meaning,word_tier,english_meaning_tier,kid_safe,also_in_es,flags,verdict (keep/fix/cut),fix_word,fix_meaning,note
173,ともだち,friend,expert,medium,yes,yes,,,,,
174,とり,bird,medium,easy,yes,yes,short-hiragana-homophone-risk,,,,
175,とる,take,easy,easy,yes,yes,short-hiragana-homophone-risk,,,,
176,どうぐ,tool,medium,easy,yes,yes,,,,,
177,どうぶつ,animal,easy,medium,yes,yes,,,,,
178,どうろ,road,medium,easy,yes,yes,,,,,
179,なか,middle,easy,medium,yes,yes,short-hiragana-homophone-risk,,,,
180,ながい,long,expert,easy,yes,yes,sense-check,,,,
181,なくす,lose,hard,easy,yes,yes,,,,,
182,なつ,summer,hard,medium,yes,yes,short-hiragana-homophone-risk,,,,
183,なな,seven,medium,medium,yes,yes,short-hiragana-homophone-risk,,,,
184,なまえ,name,easy,easy,yes,yes,,,,,
185,なみ,wave,medium,easy,yes,yes,sense-check short-hiragana-homophone-risk,,,,
186,に,two,easy,easy,yes,yes,short-hiragana-homophone-risk,,,,
187,にく,meat,hard,easy,yes,yes,short-hiragana-homophone-risk,,,,
188,にし,west,easy,easy,yes,yes,short-hiragana-homophone-risk,,,,
189,ぬれる,wet,expert,easy,yes,yes,,,,,
190,ね,root,easy,easy,yes,yes,short-hiragana-homophone-risk,,,,
191,ねこ,cat,medium,easy,yes,yes,short-hiragana-homophone-risk,,,,
192,ねずみ,mouse,expert,easy,yes,yes,,,,,
193,ねだん,price,expert,medium,yes,yes,,,,,
194,のうじょう,farm,hard,easy,yes,yes,,,,,
195,は,leaf,easy,easy,yes,yes,short-hiragana-homophone-risk,,,,
196,はいいろ,gray,hard,easy,yes,yes,,,,,
197,はこ,box,expert,easy,yes,yes,sense-check short-hiragana-homophone-risk,,,,
198,はこぶ,carry,expert,medium,yes,yes,,,,,
199,はし,bridge,expert,medium,yes,yes,short-hiragana-homophone-risk,,,,
200,はしる,run,expert,easy,yes,yes,sense-check,,,,
201,はじめる,start,hard,medium,yes,yes,,,,,
202,はたけ,field,expert,medium,yes,yes,,,,,
203,はだ,skin,medium,easy,yes,yes,short-hiragana-homophone-risk,,,,
204,はち,eight,easy,medium,yes,yes,short-hiragana-homophone-risk,,,,
205,はな,flower,hard,easy,yes,yes,short-hiragana-homophone-risk,,,,
206,はなす,speak,expert,medium,yes,yes,,,,,
207,はは,mother,easy,medium,yes,yes,short-hiragana-homophone-risk,,,,
208,はやい,fast,expert,easy,yes,yes,,,,,
209,はらう,pay,expert,easy,yes,yes,,,,,
210,はる,spring,medium,medium,yes,yes,sense-check short-hiragana-homophone-risk,,,,
211,ひ,day,easy,easy,yes,yes,short-hiragana-homophone-risk,,,,
212,ひかり,light,hard,medium,yes,yes,sense-check,,,,
213,ひがし,east,expert,easy,yes,yes,,,,,
214,ひく,pull,expert,easy,yes,yes,short-hiragana-homophone-risk,,,,
215,ひこうき,plane,medium,medium,yes,yes,,,,,
216,ひだり,left,expert,easy,yes,yes,sense-check,,,,
217,ひつよう,need,easy,easy,yes,yes,,,,,
218,ひとびと,people,easy,medium,yes,yes,,,,,
219,ひゃく,hundred,expert,hard,yes,yes,,,,,
220,びょういん,hospital,easy,medium,yes,yes,,,,,
221,ふね,boat,easy,easy,yes,yes,short-hiragana-homophone-risk,,,,
222,ふゆ,winter,expert,medium,yes,yes,short-hiragana-homophone-risk,,,,
223,ふるい,old,expert,easy,yes,yes,,,,,
224,ぶた,pig,expert,easy,yes,yes,short-hiragana-homophone-risk,,,,
225,へいわ,peace,easy,medium,yes,yes,,,,,
226,へや,room,expert,easy,yes,yes,short-hiragana-homophone-risk,,,,
227,ほうりつ,law,easy,easy,yes,yes,,,,,
228,ほし,star,hard,easy,yes,yes,sense-check short-hiragana-homophone-risk,,,,
229,ほしい,want,easy,easy,yes,yes,,,,,
230,ほね,bone,medium,easy,yes,yes,short-hiragana-homophone-risk,,,,
231,ほん,book,medium,easy,yes,yes,sense-check short-hiragana-homophone-risk,,,,
232,ぼうし,hat,expert,easy,yes,yes,,,,,
233,まえ,front,expert,medium,yes,yes,short-hiragana-homophone-risk,,,,
234,まち,city,medium,easy,yes,yes,short-hiragana-homophone-risk,,,,
235,まど,window,medium,easy,yes,yes,short-hiragana-homophone-risk,,,,
236,まる,circle,medium,medium,yes,yes,short-hiragana-homophone-risk,,,,
237,みぎ,right,expert,medium,yes,yes,sense-check short-hiragana-homophone-risk,,,,
238,みじかい,short,expert,medium,yes,yes,,,,,
239,みず,water,easy,medium,yes,yes,short-hiragana-homophone-risk,,,,
240,みずうみ,lake,medium,easy,yes,yes,,,,,
241,みせ,shop,hard,easy,yes,yes,short-hiragana-homophone-risk,,,,
242,みち,street,medium,medium,yes,yes,short-hiragana-homophone-risk,,,,
243,みつける,find,expert,easy,yes,yes,,,,,
244,みどり,green,hard,medium,yes,yes,,,,,
245,みなみ,south,hard,medium,yes,yes,,,,,
246,みみ,ear,easy,easy,yes,yes,short-hiragana-homophone-risk,,,,
247,みる,look,easy,easy,yes,yes,short-hiragana-homophone-risk,,,,
248,むすこ,son,expert,easy,yes,yes,,,,,
249,むら,village,medium,hard,yes,yes,short-hiragana-homophone-risk,,,,
250,め,eye,easy,easy,yes,yes,short-hiragana-homophone-risk,,,,
251,もつ,hold,medium,easy,yes,yes,short-hiragana-homophone-risk,,,,
252,ものがたり,story,expert,medium,yes,yes,sense-check,,,,
253,やさしい,easy,medium,easy,yes,yes,,,,,
254,やね,roof,medium,easy,yes,yes,short-hiragana-homophone-risk,,,,
255,やま,mountain,hard,medium,yes,yes,short-hiragana-homophone-risk,,,,
256,やわらかい,soft,expert,easy,yes,yes,,,,,
257,ゆか,floor,expert,medium,yes,yes,short-hiragana-homophone-risk,,,,
258,ゆき,snow,medium,easy,yes,yes,short-hiragana-homophone-risk,,,,
259,ゆびわ,ring,medium,easy,yes,yes,sense-check,,,,
260,よい,good,easy,easy,yes,yes,short-hiragana-homophone-risk,,,,
261,よく,often,easy,medium,yes,no,short-hiragana-homophone-risk,,,,
262,よむ,read,expert,easy,yes,yes,short-hiragana-homophone-risk,,,,
263,よる,night,easy,medium,yes,yes,short-hiragana-homophone-risk,,,,
264,よわい,weak,expert,easy,yes,yes,,,,,
265,よん,four,hard,easy,yes,yes,short-hiragana-homophone-risk,,,,
266,りょこう,travel,easy,medium,yes,yes,,,,,
267,ろく,six,medium,easy,yes,yes,short-hiragana-homophone-risk,,,,
268,わるい,bad,hard,easy,yes,yes,,,,,
269,わん,bowl,hard,easy,yes,yes,short-hiragana-homophone-risk,,,,
