wei2yi1|唯一
lei4|泪
liu2shi1|流失
qing1hua2|清华
pu4bu4|瀑布
dian3ran2|点燃
pai2zi5|牌子
zhi2xian4|直线
zhi1shi2chan3quan2|知识产权
duan3pian1|短篇
que4xin4|确信
mu4han3mo4de2|穆罕默德
tong2|童
tong2hua4|童话
guan3li3yuan2|管理员
fen3sui4|粉碎
yue4yu3|粤语
zao1|糟
suo3ni2|索尼
hong2bao1|红包
hong2qi2|红旗
zhi1|织
wei2ji1|维基
wei2sheng1su4|维生素
luo2bo2te4|罗伯特
he2|荷
xu1wei3|虚伪
xue4tong3|血统
xing2ren2|行人
jie3gu4|解雇
jing3guan1|警官
jing3cha2ju2|警察局
zu3zhou4|诅咒
wu4|误
qi3cao3|起草
qi4jin1|迄今
guo4shi2|过时
yun4ying2shang1|运营商
zhe4tao4|这套
jin4chu1|进出
xie2|邪
pei4jian4|配件
shi4|释
liang4zi3|量子
xian2|闲
chan3ming2|阐明
ji2zhong1ying2|集中营
yu4gao4|预告
feng1bo1|风波
shou3ge4|首个
gao1zhong1sheng1|高中生
gao1yuan2|高原
yi1qie4dou1shi4|一切都是
san1shi2|三十
shang4nian2|上年
shang4lu4|上路
dong1guan3|东莞
si1wa4|丝袜
liang3da4|两大
zhong1jiang4|中将
zhong1nian2|中年
wei4sha2|为啥
zhi1ming2|之名
cheng2zuo4|乘坐
shi4ji4|事迹
zhu4yuan4|住院
ti3zhi4|体质
e2yu3|俄语
xin4tu2|信徒
xin4lai4|信赖
jie4jian4|借鉴
tu4zi5|兔子
nei4mu4|内幕
kuang4qie3|况且
ke4yi4|刻意
hua2li4|华丽
fa1shou4|发售
shou4yi4|受益
gu3cheng2|古城
ju4zi5|句子
guo2qing2|国情
di4xing2|地形
cheng2qiang2|城墙
fu4he2|复合
da4zi4ran2|大自然
tai4guo4|太过
nu2yi4|奴役
hao3jiu3|好久
biao3zi5|婊子
ding4zhi4|定制
ding4ju1|定居
ding4xing4|定性
ke4ting1|客厅
xian4zheng4|宪政
rong2na4|容纳
xiao3ren2|小人
ba1na2ma3|巴拿马
shi4zheng4|市政
jian4gou4|建构
kai1fa1shang1|开发商
qi4|弃
kuai4yao4|快要
kuai4di4|快递
bei1ai1|悲哀
xiang3guo4|想过
wo3ma1|我妈
zhan4you3|战友
suo3zhang3|所长
da3yin4|打印
ji4|技
bao4chou2|报仇
la1mei3|拉美
cuo4zhe2|挫折
wan3jiu4|挽救
jie1na4|接纳
yan3hu4|掩护
jie1mi4|揭秘
she4xiang4tou2|摄像头
yao2gun3|摇滚
jiu4ji4|救济
jiao4tu2|教徒
shu4nian2|数年
zu2ren2|族人
bao4yu3|暴雨
ben3neng2|本能
qiang1ji1|枪击
dong4|栋
lan2mu4|栏目
sang1|桑
xiang4jiao1|橡胶
min2shi4|民事
qi4wei4|气味
ce4yan4|测验
zhe4jiang1sheng3|浙江省
zai1qu1|灾区
shao1hui3|烧毁
te4zhong3|特种
wang2shi4|王室
dian4qi4|电气
sui4|碎
jian3yi4|简易
yuan2gu4|缘故
que1xi2|缺席
zang4|脏
tun2|臀
zhi4jing4|致敬
hang2mu3|航母
ying2di4|营地
luo4di4|落地
ji2you2|藉由
yan3sheng1|衍生
biao3ge2|表格
qun2zi5|裙子
jie3shuo1|解说
jian4|贱
shang3|赏
lu4kou3|路口
gui3ji4|轨迹
zhuan3wei2|转为
hong1zha4ji1|轰炸机
po4qie4|迫切
mi2ren2|迷人
zhui1jia1|追加
bi4|避
zhen4di4|阵地
chu2wai4|除外
gu4yuan2|雇员
yu4|预
dian1fu4|颠覆
shou3fu3|首府
shou3pi1|首批
gu3gan4|骨干
hong2|鸿
gu3wu3|鼓舞
yi1wan4|一万
yi1ti3hua4|一体化
yi1sou1|一艘
san1jiao3|三角
bu4bian4|不便
diu1lian3|丢脸
liang3xiang4|两项
chuan4|串
wei4li4|为例
xiang1xia4|乡下
hu4zhu4|互助
chan3quan2|产权
xiu1|休
wei4ju1|位居
zuo4fa3|作法
cu4|促
zuo4fan4|做饭
jian4|健
guang1xue2|光学
guang1mang2|光芒
ru4xuan3|入选
gong1zi5|公子
nong2tian2|农田
jian3ruo4|减弱
fen1hui4|分会
ke4|刻
jia1re4|加热
bei3han2|北韩
dan1ci2|单词
chu2shi1|厨师
you3ren2|友人
shi3liao4|史料
hao4xian4|号线
ge4da4|各大
he2fei2|合肥
hou4qin2|后勤
fou3jue2|否决
ge1|咯
ge1men5|哥们
si4chuan1sheng3|四川省
guo2gong4|国共
tu2xing2|图形
jun1heng2|均衡
jian1shou3|坚守
du3|堵
sai1er3wei2ya4|塞尔维亚
duo1wan4|多万
tao4can1|套餐
nv3zhu3jue2|女主角
nai3zi5|奶子
po2po5|婆婆
xiao3wu1|小屋
gan4xian4|干线
nian2fen4|年份
nian2mo4|年末
xin1zang4bing4|心脏病
guai4yi4|怪异
heng2xing1|恒星
xiang3bu2dao4|想不到
yang2|扬
peng1ji1|抨击
chou1yan1|抽烟
bo1kuan3|拨款
quan2tou5|拳头
jie1kou3|接口
tui1li3|推理
mo2|摩
shou1kan4|收看
gai3zhi4|改制
fang4ru4|放入
fang4zhi4|放置
shu4ma3|数码
lv3you2ye4|旅游业
ri4jian4|日渐
ming2dai4|明代
yue4guang1|月光
zhen4|朕
ji1ti3|机体
cai2|材
lai2wang3|来往
ji2pin3|极品
gou4xiang3|构想
shu1niu3|枢纽
ge1ju4|歌剧
can2|残
can2ji2|残疾
min2diao4|民调
he2nan2sheng3|河南省
ni2|泥
ze2|泽
xiao1ji2|消极
you2ji1dui4|游击队
hu2nan2sheng3|湖南省
yan3hua4|演化
lie4ren2|猎人
meng3lie4|猛烈
ma3li4ya4|玛丽亚
zhen1xi1|珍惜
shuai3|甩
chang4xiao1|畅销
bing4qing2|病情
he2|盒
ai3|矮
kuang4chan3|矿产
peng4zhuang4|碰撞
shui4wu4|税务
wen3bu4|稳步
zhu2|竹
zhan1|粘
lao3nian2|老年
jian1bang3|肩膀
zhi1fang2|脂肪
zi4xue2|自学
zhi4si3|致死
she3|舍
ai4lun2|艾伦
ying1yong3|英勇
ying1cun4|英寸
sha1|莎
jing3|警
jing3yuan2|警员
yi4cheng2|议程
xu3ke3zheng4|许可证
mi2|谜
zhang4|账
he4|贺
chao1ren2|超人
ruan3ruo4|软弱
la4|辣
zhe4pian4|这片
yuan3dong1|远东
xuan3yong4|选用
li3tou5|里头
bang4|镑
men2wai4|门外
yin1dao4|阴道
lu4di4|陆地
ji2zi1|集资
gu4|顾
qi2quan2|齐全
bu4jie4yi4|不介意
bu4fang2|不妨
zhi1zhan4|之战
wu1lu3mu4qi2|乌鲁木齐
jiao1dai4|交代
ren2zao4|人造
zhong4yi4yuan4|众议院
chuan2yan2|传言
wei3zhuang1|伪装
ti3ji1|体积
zhen1cha2|侦查
ce4mian4|侧面
dao3mei2|倒霉
jie4dai4|借贷
quan2guo2xing4|全国性
jun1tuan2|军团
jun1jing3|军警
nong2fu1|农夫
xiong1|凶
fen1bian4|分辨
zhi4cheng2|制成
zhi4zao4shang1|制造商
qian2suo3wei4you3|前所未有
qian2fang1|前方
wu4shi2|务实
shi4bi4|势必
hua4zhuang1pin3|化妆品
wo4shi4|卧室
li4dai4|历代
li4shi3xing4|历史性
qu3chu1|取出
he2fa3xing4|合法性
ji2ta1|吉他
ming2pai2|名牌
xiang4wang3|向往
chao3jia4|吵架
he1|呵
hu1|呼
hui2he2|回合
yin1ying4|因应
tu2biao3|图表
yuan2man3|圆满
sheng4mu3|圣母
sheng4dan4|圣诞
di4zhong1hai3|地中海
fang1|坊
sheng1yu4|声誉
chu4zhang3|处长
duo1mei2ti3|多媒体
nv3tong2|女童
ji2du4|嫉妒
xian2yi2ren2|嫌疑人
si4miao4|寺庙
xun2|寻
xiao3tou1|小偷
wei3ba5|尾巴
qi3|岂
xing4cun2zhe3|幸存者
qing4|庆
yan2qi1|延期
jian4cai2|建材
kai1guan1|开关
kai1chu1|开出
kai1lai2|开来
qia4hao3|恰好
gan3tan4|感叹
chuo1|戳
da3chu1|打出
da3rao3|打扰
fu2chi2|扶持
chao1|抄
hui1|挥
jie1lian2|接连
sa1huang3|撒谎
cao1zuo4xi4tong3|操作系统
xiao4neng2|效能
lv3xing2she4|旅行社
shi2duan4|时段
xi1ri4|昔日
xian3xian4|显现
cao2cao1|曹操
zui4you3|最有
qi1huo4|期货
cun1li3|村里
ge2wai4|格外
gui4lin2|桂林
bi3er3|比尔
bi3te4|比特
min2su2|民俗
yang2|洋
gang3ao4|港澳
zi1wei4|滋味
di1|滴
lian4|炼
xiong2mao1|熊猫
te4gong1|特工
du2cai2zhe3|独裁者
zhen1zhu1|珍珠
sheng1qian2|生前
yi2si4|疑似
sheng4da4|盛大
zhi2jue2|直觉
zhi1hu1|知乎
zhi1ming2du4|知名度
li3yi2|礼仪
zu3fu4|祖父
dao3gao4|祷告
zu1jin1|租金
qin2|秦
da2fu4|答复
mei3xue2|美学
lao3ma1|老妈
xiao4|肖
wei4|胃
sheng4chu1|胜出
lian3shu1|脸书
zi4you3|自有
man4yan2|蔓延
xue4guan3|血管
luo3ti3|裸体
ding4yue4|订阅
tao3|讨
rang4bu4|让步
shuo1huang3|说谎
dou4fu3|豆腐
cai2zheng4bu4|财政部
zan4yang2|赞扬
gan3zou3|赶走
qu1|趋
lun2tai1|轮胎
qing1qing1|轻轻
bian4|辩
guo4shi4|过世
tong1hua4|通话
cai3na4|采纳
chong2chong2|重重
xian4ding4|限定
gu4yong4|雇用
ling3di4|领地
yin3|饮
gao1di1|高低
gao1chu1|高出
gao1da4|高大
shang4men2|上门
xia4yi2dai4|下一代
xia4shou3|下手
bu4he2|不合
bu4yi3|不已
shi4jian1|世间
yan2jin3|严谨
zhong4du2|中毒
cang1|仓
xiu1jia4|休假
di1tou2|低头
qin1quan2|侵权
cu4xiao1|促销
bao3zhu4|保住
bao3yang3|保养
chang2huan2|偿还
gong4he2dang3|共和党
dian3|典
xie3chu1|写出
jun1jian4|军舰
guan1|冠
jing4hua4|净化
chu1lu2|出炉
qian2qu4|前去
qian2feng1|前锋
li4xue2|力学
qu1hua4|区划
shi2zu2|十足
nan2ji2|南极
ka3si1|卡斯
fa1cai2|发财
shou4hai4ren2|受害人
shi3mi4si1|史密斯
chi1jing1|吃惊
tun1|吞
xi1yan1|吸烟
jia1|嘉
zuo4lao2|坐牢
jian1xin4|坚信
zeng1tian1|增添
bei4shou4|备受
fu4huo2|复活
da4xiang4|大象
tai4hao3le5|太好了
yang1hang2|央行
shi1xiao4|失效
wei3nei4rui4la1|委内瑞拉
wei1er3|威尔
bao3shi2|宝石
shi2shi4qiu2shi4|实事求是
gong1dian4|宫殿
bin1|宾
xiao3dao3|小岛
jiu4shi4shuo1|就是说
dao3guo2|岛国
kai1fa1qu1|开发区
peng2|彭
xu2zhou1|徐州
de2yu3|德语
xin1mu4|心目
bi4jiang1|必将
qia4qia4|恰恰
zhan4che1|战车
shou3gong1ye4|手工业
da3jia4|打架
yang2zhou1|扬州
tou2zi1ren2|投资人
bao4she4|报社
ba2|拔
ju1bu3|拘捕
zhao1shou1|招收
pin1ming4|拼命
nie1|捏
huan4qu3|换取
ban1qian1|搬迁
zhi1fu4bao3|支付宝
zhi1zhu4|支柱
zheng4ju2|政局
san4bu4|散布
san3wen2|散文
ri4chang2sheng1huo2|日常生活
jiu4zhi3|旧址
kun1chong2|昆虫
xing1zuo4|星座
yue4qiu2|月球
you3shi4|有事
wang4yuan3jing4|望远镜
ge2la1|格拉
tao2yuan2|桃园
tao2hua1|桃花
tong3|桶
mo2kuai4|模块
ci3ren2|此人
bi3yu4|比喻
wu1shui3|污水
zhu4ming2|注明
nong2hou4|浓厚
yu2min2|渔民
dian3zi5|点子
lao2|牢
dian4ji1|电机
shu1san4|疏散
sheng4xing2|盛行
li2qu4|离去
li2zi5|离子
si1xia4|私下
ke1xue2ji4shu4|科学技术
tu1ji1|突击
di4yi4ming2|第一名
di4san1ge4|第三个
zu3zhang3|组长
jing1mao4|经贸
jie2wei3|结尾
bian1ma3|编码
que1kou3|缺口
lao3shi4|老是
chi3ru3|耻辱
zi4wei4|自慰
zang4li3|葬礼
shi4xian4|视线
jie3tuo1|解脱
gui3yi4|诡异
zeng4song4|赠送
dun1|蹲
shen1pang2|身旁
guo4min3|过敏
mai4|迈
zhe4hui2|这回
zhen4rong2|阵容
ji4|际
ge2xin1|革新
yu4ding4|预订
feng1qi4|风气
bao3|饱
wei4|魏
yi1tang4|一趟
yi1lun2|一轮
yi1men2|一门
shang4jiang4|上将
shang4xiao4|上校
xia4gang3|下岗
bu4yi2|不宜
bu4xi1|不惜
chou3lou4|丑陋
liang3zhi3|两只
zhong1yao4|中药
qin1jin4|亲近
ren2shen1|人身
hui4chang3|会场
gong1ying4shang1|供应商
yi1ci4|依次
fu2lu3|俘虏
xin4feng4|信奉
zhai4quan2ren2|债权人
chong1dang1|充当
ke4li3si1|克里斯
ba1da4|八大
gong1kai1xin4|公开信
zai4you3|再有
ji3ju4|几句
fen1gong1si1|分公司
shan1|删
li4ya4|利亚
yong3|勇
hua4zhuang1|化妆
sheng1gao1|升高
ban4dao3ti3|半导体
hua2yi4|华裔
hua2yu3|华语
xian4zhang3|县长
fan3xing3|反省
fan3ge2ming4|反革命
fa1gei3|发给
he2ji4|合计
tong2deng3|同等
qi3meng2|启蒙
na4|呐
he1he1|呵呵
guo2ji4fa3|国际法
dian4|垫
ji1chu3she4shi1|基础设施
tian2xie3|填写
fu4xi2|复习
wai4jiao1guan1|外交官
duo1wei4|多位
da4wang2|大王
da4gang1|大纲
tou2tiao2|头条
nv3xu4|女婿
zi4yang4|字样
gu1er2|孤儿
gu1dan1|孤单
ning2jing4|宁静
ding4lv4|定律
han2leng3|寒冷
yan2|岩
bu4lei2|布雷
ping2xing2|平行
guang3yi4|广义
dian4li3|店里
kai1zhan4|开战
ji2ju4|急剧
xuan2gua4|悬挂
lan3|懒
huo4zhe3shuo1|或者说
hu4wai4|户外
tuo1ma3si1|托马斯
la1ding1|拉丁
peng3|捧
da1cheng2|搭乘
jing4|敬
wu2tiao2jian4|无条件
ri4chu1|日出
ri4dian4|日电
shi2hui4|时会
wan3fan4|晚饭
fu2yi4|服役
huan1hu1|欢呼
zheng4tong3|正统
wu3shu4|武术
sha1te4|沙特
he2bei3sheng3|河北省
you2jia4|油价
zhan1|沾
zhu4shi4|注释
pai4chu1suo3|派出所
liu2xiang4|流向
lang4chao2|浪潮
shen1hou4|深厚
shen1zhen4shi4|深圳市
qing1zhen1si4|清真寺
peng1ren4|烹饪
gou3gou3|狗狗
wan2yi4|玩意
li3suo3dang1ran2|理所当然
tian2mi4|甜蜜
jie4mian4|界面
mu4du3|目睹
ke1pu3|科普
jing4ji4|竞技
bi3ji4ben3|笔记本
di4yi1bu4|第一部
shai1xuan3|筛选
jing1zhi4|精致
tang2niao4bing4|糖尿病
jin3jin3|紧紧
na4shui4|纳税
yi4|翼
geng1di4|耕地
lian2jun1|联军
zhi4fu4|致富
ci2|茨
dang4|荡
shuai1tui4|衰退
dai4|袋
jiang3jiu1|讲究
lun4dian3|论点
bian3zhi2|贬值
dai4|贷
zou3shi4|走势
duo3bi4|躲避
fan3|返
lian2tong2|连同
tao2zou3|逃走
jin1gang1|金刚
chang2zheng1|长征
chuang3|闯
chuang3ru4|闯入
a1man4|阿曼
yin3xing2|隐形
li4shu3yu2|隶属于
mian4zi5|面子
si4liao4|饲料
man2tou5|馒头
li2ming2|黎明
yi1zhong1|一中
yi1chu1|一出
yi1zhan4|一战
xia4chang3|下场
shi4su2|世俗
diu1shi1|丢失
liang3chang3|两场
guai1guai1|乖乖
yi3|乙
jiu3nian2|九年
jiu3long2|九龙
jiao1chu1|交出
ren2kou3pu3cha2|人口普查
san3|伞
xin4jian4|信件
qing1|倾
jia3ding4|假定
zuo4ge4|做个
tu4|兔
quan2hui4|全会
quan2chang3|全场
gong1an1ju2|公安局
nei4yi1|内衣
mao4fan4|冒犯
hua4shi2|化石
pi3pei4|匹配
wei4sheng1bu4|卫生部
chang3jia1|厂家
fa1da2guo2jia1|发达国家
he2zuo4she4|合作社
xi1xue4gui3|吸血鬼
hu1huan4|呼唤
zhe2xue2jia1|哲学家
guo2fang2bu4zhang3|国防部长
tu2ku4|图库
sheng4di4|圣地
duo1duo1|多多
tian1jin1shi4|天津市
tai4bang4le5|太棒了
shi1ye4lv4|失业率
ben1chi2|奔驰
tao4lu4|套路
hao3xiao4|好笑
fei1|妃
ji1|姬
wa2|娃
xue2wen4|学问
an1ni1|安妮
an1fu3|安抚
wan2bei4|完备
wan2gong1|完工
ding4jia4|定价
ke4fu2|客服
xu4lie4|序列
zuo4tan2hui4|座谈会
yi4|役
de2ming2|得名
de2jun1|德军
xin1si1|心思
you1lv4|忧虑
qing2ren2jie2|情人节
ba1|扒
da3zhang4|打仗
da3bao1|打包
kang4ju4|抗拒
zheng4qian2|挣钱
bu3zhuo1|捕捉
lao1|捞
sou1cha2|搜查
ban1jia1|搬家
zhai1|摘
zhuang4ji1|撞击
jiu4zai1|救灾
wen2ku4|文库
wen2ji2|文集
ri4nei4wa3|日内瓦
ming2liang4|明亮
jing3|景
man4ha1dun4|曼哈顿
man4gu3|曼谷
ti4huan4|替换
zui4xian1|最先
meng4jian4|梦见
gai4kuo4|概括
bang3yang4|榜样
can2ji2ren2|残疾人
shui3yuan2|水源
pao4mo4|泡沫
tai4lei1|泰勒
liu2wang2|流亡
yuan2tou2|源头
ji1qi3|激起
re4chao2|热潮
ta1|牠
shou4lie4|狩猎
